[31/Oct/2018 09:54:25] INFO [ce_availability.views:205] VIEWS.PY: CALENDAR accessed by albert.ribes
[31/Oct/2018 09:55:25] INFO [ce_availability.views:205] VIEWS.PY: CALENDAR accessed by albert.ribes
[31/Oct/2018 09:55:42] INFO [ce_availability.views:205] VIEWS.PY: CALENDAR accessed by albert.ribes
[31/Oct/2018 09:56:13] INFO [ce_availability.views:205] VIEWS.PY: CALENDAR accessed by albert.ribes
[31/Oct/2018 09:57:14] INFO [ce_availability.views:205] VIEWS.PY: CALENDAR accessed by albert.ribes
[31/Oct/2018 09:57:56] INFO [ce_availability.views:205] VIEWS.PY: CALENDAR accessed by albert.ribes
[31/Oct/2018 09:57:56] INFO [ce_availability.views:205] VIEWS.PY: CALENDAR accessed by albert.ribes
[31/Oct/2018 09:58:56] INFO [ce_availability.views:205] VIEWS.PY: CALENDAR accessed by albert.ribes
[31/Oct/2018 09:59:56] INFO [ce_availability.views:205] VIEWS.PY: CALENDAR accessed by albert.ribes
[31/Oct/2018 10:00:56] INFO [ce_availability.views:205] VIEWS.PY: CALENDAR accessed by albert.ribes
[31/Oct/2018 10:01:57] INFO [ce_availability.views:205] VIEWS.PY: CALENDAR accessed by albert.ribes
[31/Oct/2018 10:02:59] INFO [ce_availability.views:205] VIEWS.PY: CALENDAR accessed by albert.ribes
[31/Oct/2018 10:03:59] INFO [ce_availability.views:205] VIEWS.PY: CALENDAR accessed by albert.ribes
[31/Oct/2018 10:06:53] INFO [ce_availability.views:205] VIEWS.PY: CALENDAR accessed by albert.ribes
[31/Oct/2018 10:07:46] INFO [ce_availability.views:205] VIEWS.PY: CALENDAR accessed by albert.ribes
[31/Oct/2018 10:08:46] INFO [ce_availability.views:205] VIEWS.PY: CALENDAR accessed by albert.ribes
[31/Oct/2018 10:09:47] INFO [ce_availability.views:205] VIEWS.PY: CALENDAR accessed by albert.ribes
